index,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,median_age,gdp_per_capita,life_expectancy
93,Asia,Cambodia,2020-10-21,286.0,,17.105999999999998,,16718971.0,25.6,3645.07,69.82
94,Asia,Georgia,2020-10-21,19857.0,158.0,4977.721,39.607,3989175.0,38.7,9745.079,73.77
95,Asia,Bhutan,2020-10-21,331.0,,428.972,,771612.0,28.6,8708.597,71.78
96,Asia,Bangladesh,2020-10-21,391589.0,5699.0,2377.743,34.605,164689383.0,27.5,3523.9840000000004,72.59
97,Asia,Bahrain,2020-10-21,78533.0,305.0,46152.905999999995,179.245,1701583.0,32.4,43290.705,77.29
98,Asia,Brunei,2020-10-21,147.0,3.0,336.01300000000003,6.857,437483.0,32.4,71809.25099999999,75.86
99,Asia,Armenia,2020-10-21,66694.0,1101.0,22507.166,371.55400000000003,2963234.0,35.7,8787.58,75.09
100,Asia,Azerbaijan,2020-10-21,45879.0,635.0,4524.924,62.628,10139175.0,32.4,15847.419,73.0
101,Europe,Austria,2020-10-21,68414.0,927.0,7596.154,102.927,9006400.0,44.4,45436.685999999994,81.54
102,Europe,Czech Republic,2020-10-21,193946.0,1619.0,18110.592,151.18200000000002,10708982.0,43.3,32605.906000000003,79.38
103,Europe,Netherlands,2020-10-21,244103.0,6804.0,14245.976999999999,397.085,17134873.0,43.2,48472.545,82.28
104,Europe,Cyprus,2020-10-21,2839.0,25.0,3241.241,28.541999999999998,875899.0,37.3,32415.132,80.98
105,Europe,Norway,2020-10-21,16603.0,278.0,3062.5820000000003,51.28,5421242.0,39.7,64800.057,82.4
106,Europe,Croatia,2020-10-21,26863.0,382.0,6543.544,93.051,4105268.0,44.0,22669.797000000002,78.49
107,Europe,Albania,2020-10-21,17651.0,458.0,6133.505,159.149,2877800.0,38.0,11803.431,78.57
108,Europe,Poland,2020-10-21,192539.0,3721.0,5087.352,98.318,37846605.0,41.8,27216.445,78.73
109,Europe,Portugal,2020-10-21,103736.0,2213.0,10173.481,217.03099999999998,10196707.0,46.2,27936.896,82.05
110,Europe,Andorra,2020-10-21,3623.0,62.0,46890.570999999996,802.433,77265.0,,,83.73
111,Europe,Romania,2020-10-21,186254.0,5996.0,9681.728000000001,311.68,19237682.0,43.0,23313.199,76.05
112,Europe,Russia,2020-10-21,1431635.0,24635.0,9810.123,168.80900000000003,145934460.0,39.6,24765.953999999998,72.58
113,Europe,San Marino,2020-10-21,766.0,42.0,22570.57,1237.5510000000002,33938.0,,56861.47,84.97
114,Europe,United Kingdom,2020-10-21,762542.0,43967.0,11232.684,647.659,67886004.0,40.8,39753.244,81.32
115,Europe,Serbia,2020-10-21,36608.0,780.0,5379.893,114.62799999999999,6804596.0,41.2,14048.881000000001,76.0
116,Europe,Bulgaria,2020-10-21,31863.0,1019.0,4585.63,146.65200000000002,6948445.0,44.7,18563.307,75.05
117,Europe,Denmark,2020-10-21,36373.0,688.0,6279.649,118.78,5792203.0,42.3,46682.515,80.9
118,Europe,Slovakia,2020-10-21,31400.0,98.0,5751.2919999999995,17.95,5459643.0,41.2,30155.152000000002,77.54
119,Europe,Slovenia,2020-10-21,14479.0,166.0,6964.634,79.84899999999999,2078932.0,44.5,31400.84,81.32
120,Europe,Bosnia and Herzegovina,2020-10-21,35389.0,1017.0,10786.649,309.98400000000004,3280815.0,42.5,11713.895,77.4
121,Europe,Ukraine,2020-10-21,309107.0,5786.0,7067.927,132.30100000000002,43733759.0,41.4,7894.393,72.06
122,Europe,Switzerland,2020-10-21,86167.0,1844.0,9956.188,213.065,8654618.0,43.1,57410.166,83.78
123,Europe,Belarus,2020-10-21,88909.0,937.0,9409.036,99.161,9449321.0,40.3,17167.967,74.79
124,Europe,Vatican,2020-10-21,26.0,,32138.443,,809.0,,,75.12
125,Europe,Montenegro,2020-10-21,15892.0,247.0,25303.234,393.273,628062.0,39.1,16409.288,76.88
126,Europe,Iceland,2020-10-21,4193.0,11.0,12287.178999999998,32.234,341250.0,37.3,46482.958,82.99
127,Europe,Monaco,2020-10-21,271.0,1.0,6905.514,25.482,39244.0,,,86.75
128,Europe,Macedonia,2020-10-21,24196.0,850.0,11613.82,407.991,2083380.0,39.1,13111.214,75.8
129,Europe,Luxembourg,2020-10-21,11241.0,136.0,17957.557,217.261,625976.0,39.7,94277.965,82.25
130,Europe,Lithuania,2020-10-21,8239.0,120.0,3026.495,44.081,2722291.0,43.5,29524.265,75.93
131,Europe,Liechtenstein,2020-10-21,249.0,1.0,6529.092,26.221,38137.0,,,82.49
132,Europe,Germany,2020-10-21,380762.0,9875.0,4544.57,117.863,83783945.0,46.6,45229.245,81.33
133,Europe,Gibraltar,2020-10-21,608.0,,18046.363,,33691.0,,,79.93
134,Europe,France,2020-10-21,930745.0,33885.0,14259.153,519.123,65273512.0,42.0,38605.671,82.66
